geometry,reach,gravity_logistic,gravity_exponential,knn_logistic
POINT (3433.8750857113487 4124.005370871137),328,72.96122061526314,155.72700573925943,2.8413255124734453
POINT (198.17914054860265 3027.1771503582245),293,66.45027864232645,141.44667656392892,2.7897177039613292
POINT (2846.725505535602 3517.9999682188923),437,91.43418258215844,208.14146924227424,4.015685476642345
POINT (2088.6293711230787 1907.300442347972),451,88.2882192192709,211.18315853290073,4.249833356534595
POINT (3096.3561772741323 2967.855702841535),457,87.8705719519916,211.94650844675286,2.9443298139499348
POINT (4126.108022995488 583.8393557752767),377,93.61817809190504,185.1907308722285,1.601718683356023
POINT (4291.119294287481 1408.876452917965),447,110.4741571709026,219.44829105178474,1.783428323057489
POINT (1528.426441046832 3961.1099032799902),332,73.16685986767598,159.11480668768064,4.437828446837695
POINT (3669.4429699739912 2415.8748334857673),444,89.1760971999297,208.97907453908644,3.9758061285579256
POINT (1291.277163955589 2805.1877996473168),485,86.82631062409712,223.59182756697618,1.600287438300653
POINT (2109.6632372248973 3134.545939605676),481,94.765647471722,224.1164863795842,4.563999344528945
POINT (3664.7388549414463 1318.9256945631723),477,93.22169400322899,222.20316475306458,2.6002819521337313
POINT (603.2117630698185 2765.055971366625),410,86.6408585379973,194.96420281557562,2.2262517347591295
POINT (165.04872663148544 528.9630675215374),262,77.4857619342479,134.49888128762774,2.097128472456719
POINT (4591.324120848935 1541.0934058117898),360,93.47747366112905,179.0639767734994,3.359250821957529
POINT (2064.0722025732402 2087.1550909411662),475,89.50770746438448,220.55468538599752,1.9109432039511889
POINT (4224.652146315667 3403.886764565458),421,84.46840545660076,198.9256463816594,3.258158902884742
POINT (2203.204684378231 241.46688945589491),297,72.88240354233228,145.1066132346705,2.861990642614181
POINT (4179.88371035157 1353.9143755151113),457,109.29162162600798,225.0322888246824,3.708697721132762
POINT (1001.4843869480277 1317.3906135707075),505,108.4049746211992,239.50608790621104,3.2229229147494927
POINT (550.9505765269845 3998.855262990369),247,68.31772839120458,125.17956799550066,2.2534348368882386
POINT (645.560027225454 3008.5518977672077),412,76.31159157318044,190.94622525078742,4.3325011829256965
POINT (1725.003421352883 4073.614775226952),312,68.50553518036993,149.9796337764608,3.3539410111148866
POINT (4157.446873358199 2310.5436364780303),448,80.64508168778264,206.48255303932203,5.122484384939485
POINT (2807.7290717953897 101.09204175106701),263,60.98664878740656,127.49986918059206,2.3776100477995095
POINT (2365.916315148578 1995.0021225312887),462,89.10861374290536,213.66615942249823,3.029785972072963
POINT (4014.212014623338 2292.5691045352946),459,82.77776278216125,211.49827052512157,3.439315122343915
POINT (594.0092359749972 2417.8932962471085),408,104.40506307746648,203.0111238512894,2.9478558327266047
POINT (1157.292665152854 3973.132370929794),310,70.3251450429368,149.92532300755576,3.855808371696065
POINT (3546.550226862958 1701.1658440210913),482,92.53464353623214,224.6797038680565,2.5985893499509984
POINT (3442.7366895303426 2308.896378156993),446,92.92436118189734,210.38086032568697,2.898917058191858
POINT (1448.9221120755274 878.6283311785654),444,86.52744333019893,206.70509956077578,3.845529303264054
POINT (948.9909138927236 1152.8077289775608),497,111.50634210639848,239.0577153687971,3.52129822620528
POINT (2109.209363247417 518.0218431898888),368,79.5357058557077,174.7087014193075,2.158466700297866
POINT (3669.187072800372 110.94043905968424),255,54.57236691408506,120.6311521662415,2.0088468834272577
POINT (1978.326921057055 2298.606671950333),496,96.97833269006611,231.13953011859357,4.824089536411378
POINT (56.268067347606 1692.6984332749403),277,45.65099904652977,126.26928841189037,1.1562995649904877
POINT (47.336440089678945 439.8565076592125),215,56.324611525907805,107.7983153267706,2.144172606050119
POINT (2091.442937821803 3710.964267438207),402,102.58381836951217,200.90021277823894,4.1352401101705265
POINT (2873.8763629462665 2418.296143471164),455,85.5732970928001,210.78408952661067,1.8145307826920989
