<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: final_batch_jobs.csv>index,status,scope,variant,threads,workers,trial,nodes,edges,origins,destinations,load_s,prepare_s,csr_s,metrics_s,export_s,total_s,process_cpu_s,process_peak_rss_kib,rss_after_bytes,read_bytes_delta,write_bytes_delta,input_file_bytes,output_file_bytes,outputs,arrays,round
20,measured,synthetic_component_pipeline,baseline,1,4,2,4096,8064,512,2048,0.0019849400000566,0.0004432389998783,0.3202245360000688,0.0227612030000727,0.0285323840000728,0.3739463020001494,0.365093023,217280,222576640,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
21,measured,synthetic_component_pipeline,baseline,1,4,2,4096,8064,512,2048,0.00224121500014,0.000441740000042,0.3973748909997994,0.0192188880000685,0.0312830479999775,0.4505597820000275,0.4354329640000003,217404,222711808,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
22,measured,synthetic_component_pipeline,baseline,1,4,2,4096,8064,512,2048,0.0028753399999459,0.0003894129999935,0.5077226400001109,0.0362820269999701,0.0307517559999723,0.5780211759999929,0.5644441459999996,217152,222527488,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
23,measured,synthetic_component_pipeline,baseline,1,4,2,4096,8064,512,2048,0.002178350999884,0.0003865820001465,0.4948703399998067,0.0244442130001516,0.018007063999903,0.5398865499998919,0.534956191,216896,222310400,0,196608,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
24,measured,synthetic_component_pipeline,candidate,2,2,0,4096,8064,512,2048,0.0020572710000124,0.0005679509999936,0.0020397799999045,0.0176786839999749,0.1111350260000563,0.1334787119999418,0.1571893019999999,216064,221454336,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
25,measured,synthetic_component_pipeline,candidate,2,2,0,4096,8064,512,2048,0.0020314809999035,0.0005438820001018,0.0020249699998657,0.0517572759999893,0.0775535140001011,0.1339111229999616,0.154861865,216000,221437952,0,204800,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
26,measured,synthetic_component_pipeline,candidate,2,2,0,4096,8064,512,2048,0.002270148999969,0.0004722469998341,0.002310417000217,0.0206695559998024,0.0366648700000951,0.0623872389999178,0.0869061009999998,216064,221478912,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
27,measured,synthetic_component_pipeline,candidate,2,2,0,4096,8064,512,2048,0.003017310000132,0.0005464479997954,0.0019551400000636,0.0197997039999791,0.038410634999991,0.0637292369999613,0.081737965,216000,221446144,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
28,measured,synthetic_component_pipeline,candidate,2,2,0,4096,8064,512,2048,0.002437706000137,0.0003904999998667,0.0021854389999589,0.0179718720000892,0.0349524779999228,0.0579379949999747,0.0834199510000002,216064,221495296,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
29,measured,synthetic_component_pipeline,candidate,2,2,0,4096,8064,512,2048,0.002187762000176,0.0003851809999559,0.00217454299991,0.0179660989999774,0.0348530250000749,0.0575666100000944,0.0771840149999998,216128,221466624,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
30,measured,synthetic_component_pipeline,candidate,2,2,0,4096,8064,512,2048,0.0021412300000065,0.000341002000141,0.0020221299998866,0.0183593159999873,0.0329234969999561,0.0557871749999776,0.0745668020000001,216128,221474816,0,200704,335446,190312,"{""result.csv"": ""5c409a8b831c5e8076a8a1ff8f3686cac13d809be1ed87cf6cdb274d01d63a48"", ""result.geojson"": ""5b64dfda9a898cca8297376a4bcd0345ed457ec7eb97f64c9f588e3d1cf4f308""}","[""5dc60d1b73205fc04f83f9c04ec8f22a5fdbe032b128f435e5b9636fb5be291b"", ""309ecddaa435316c4272db2e67e9eac008ed4ec08727ac520ff44dad0859c57d"", ""8c56dc31f72037ff07a43ac46ee9d8f4672a8bd5f5e072cf05acaa80d512315c"", ""ec7c289464ef44ae58e03f54d20fa1a10ef72ea0b22b511ddbf214d5751b69d0""]",0
